"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Bookstore API","Books Management","Update Book","0","0","3","0","0"
"Bookstore API","Books Management","Get Book By ID","0","0","3","0","0"
"Bookstore API","Books Management","Create Book","0","0","3","0","0"
"Bookstore API","Authors Management","Get Authors By Book","0","0","1","0","0"
"Bookstore API","Authors Management","Get All Authors","0","0","1","0","0"
"Bookstore API","Authors Management","Delete Author","0","0","2","0","0"
"Bookstore API","Books Management","Delete Book","0","0","2","0","0"
"Bookstore API","Authors Management","Update Author","0","0","3","0","0"
"Bookstore API","Authors Management","Performance","0","0","1","0","0"
"Bookstore API","Authors Management","Create Author","0","0","3","0","0"
"Bookstore API","Books Management","Headers Validation","0","0","1","0","0"
"Bookstore API","Authors Management","Headers Validation","0","0","1","0","0"
"Bookstore API","Authors Management","Get Author By ID","0","0","3","0","0"
"Bookstore API","Books Management","Performance","0","0","1","0","0"
"Bookstore API","Books Management","Get All Books","0","0","1","0","0"
